activation,units_input,num_layers,units_0,units_1,optimizer,units_2,units_3,units_4,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,score
elu,960,2,608,704,adam,640,1024.0,992.0,2,0,4,0,0.8724166750907898
selu,672,4,992,224,adam,832,992.0,576.0,2,0,4,0,0.8690833449363708
relu,896,5,288,256,adam,224,896.0,832.0,2,0,4,0,0.8687499761581421
tanh,736,3,1024,864,adam,576,352.0,288.0,2,0,4,0,0.8680833578109741
selu,608,3,928,608,adam,416,192.0,704.0,2,0,4,0,0.8675000071525574
elu,576,2,928,160,adam,992,672.0,512.0,2,0,4,0,0.8663333058357239
relu,896,3,384,224,adam,576,1024.0,1024.0,2,0,4,0,0.8636666536331177
relu,544,4,608,416,adam,384,352.0,352.0,2,0,4,0,0.8527500033378601
elu,544,2,736,192,rmsprop,352,512.0,480.0,2,0,4,0,0.8479166626930237
tanh,608,3,640,992,rmsprop,448,992.0,896.0,2,0,4,0,0.8387500047683716
tanh,928,5,416,128,rmsprop,800,384.0,992.0,2,0,4,0,0.8350833058357239
sigmoid,640,5,544,896,adam,512,128.0,128.0,2,0,4,0,0.8238333463668823
sigmoid,704,3,1024,576,rmsprop,128,,,2,0,4,0,0.8054999709129333
elu,928,4,544,128,rmsprop,448,416.0,512.0,2,0,4,0,0.7990000247955322
sigmoid,768,3,480,768,rmsprop,992,256.0,832.0,2,0,4,0,0.7986666560173035
tanh,576,3,576,928,SGD,448,192.0,672.0,2,0,4,0,0.7817500233650208
sigmoid,992,4,352,352,rmsprop,800,352.0,736.0,2,0,4,0,0.7742499709129333
tanh,704,3,864,160,SGD,320,768.0,480.0,2,0,4,0,0.7605000138282776
tanh,864,3,448,224,SGD,704,736.0,480.0,2,0,4,0,0.7558333277702332
tanh,992,3,160,704,SGD,864,928.0,1024.0,2,0,4,0,0.7480000257492065
relu,800,5,416,416,SGD,672,896.0,928.0,2,0,4,0,0.731416642665863
relu,992,4,864,960,SGD,192,992.0,544.0,2,0,4,0,0.7199166417121887
tanh,608,5,160,512,SGD,608,192.0,1024.0,2,0,4,0,0.6315833330154419
sigmoid,704,5,224,416,SGD,896,896.0,896.0,2,0,4,0,0.5916666388511658
elu,544,2,864,864,adam,224,384.0,352.0,2,0,4,0,
